freshTime,count,positive_prob,confidence,negative_prob,sentiment
2019/12/27,612,0.686714059,0.790324605,0.313285951,1.411764706
2019/12/28,423,0.780871345,0.835962603,0.219128665,1.598108747
2019/12/29,491,0.744721851,0.841074849,0.255278137,1.535641548
2019/12/30,975,0.673201199,0.805503483,0.326798806,1.384615385
2019/12/31,931,0.637513496,0.793894758,0.362486509,1.285714286
2020/1/1,607,0.772409617,0.869496862,0.227590372,1.561779242
2020/1/2,1016,0.671788771,0.802027477,0.328211246,1.356299213
2020/1/3,1091,0.604817613,0.798552374,0.395182381,1.190650779
2020/1/4,452,0.642355596,0.795754564,0.357644386,1.298672566
2020/1/5,459,0.676304506,0.807618089,0.323695474,1.37037037
2020/1/6,1097,0.666858456,0.792514745,0.333141554,1.350045579
2020/1/7,992,0.641136974,0.770801829,0.358863,1.32358871
2020/1/8,1070,0.641390308,0.800420913,0.358609682,1.298130841
2020/1/9,1057,0.647980712,0.79709005,0.352019273,1.30179754
2020/1/10,1121,0.703674945,0.78496675,0.296325055,1.443354148
2020/1/11,510,0.722604151,0.820854903,0.277395865,1.5
2020/1/12,538,0.731834493,0.798124678,0.268165482,1.524163569
2020/1/13,950,0.68612362,0.785209827,0.313876375,1.382105263
2020/1/14,1039,0.681409463,0.771080186,0.318590531,1.394610202
2020/1/15,1015,0.675564723,0.773181408,0.32443528,1.379310345
2020/1/16,858,0.651791285,0.760565896,0.348208708,1.324009324
2020/1/17,911,0.717595845,0.778629211,0.28240416,1.458836443
2020/1/18,464,0.728658994,0.783890962,0.271341009,1.484913793
2020/1/19,720,0.70063033,0.794793547,0.299369654,1.440277778
2020/1/20,552,0.667647252,0.786714613,0.332352753,1.351449275
2020/1/21,427,0.74963811,0.785288826,0.250361901,1.571428571
2020/1/22,423,0.705675893,0.740833046,0.294324115,1.46572104
2020/1/23,398,0.70204756,0.724496249,0.297952431,1.452261307
2020/1/24,294,0.732347513,0.736589615,0.267652452,1.537414966
2020/1/25,334,0.767747604,0.738964111,0.232252405,1.625748503
2020/1/26,399,0.711305123,0.705227105,0.288694893,1.511278195
2020/1/27,444,0.692856227,0.706278531,0.307143784,1.452702703
2020/1/28,470,0.739657217,0.731599226,0.260342789,1.546808511
2020/1/29,476,0.722024555,0.733046667,0.277975459,1.514705882
2020/1/30,536,0.727544847,0.723561681,0.272455149,1.53358209
2020/1/31,580,0.726488368,0.717006247,0.273511628,1.551724138
2020/2/1,599,0.70241521,0.720877813,0.297584773,1.467445743
2020/2/2,513,0.706034939,0.724580485,0.293965056,1.475633528
2020/2/3,537,0.681724299,0.729459759,0.318275724,1.424581006
2020/2/4,591,0.681936694,0.72675899,0.318063302,1.424703892
2020/2/5,567,0.652788197,0.724828397,0.347211799,1.361552028
2020/2/6,550,0.669025736,0.731649629,0.330974257,1.376363636
2020/2/7,554,0.677530218,0.706886983,0.322469782,1.440433213
2020/2/8,390,0.72089134,0.740179,0.279108635,1.512820513
2020/2/9,401,0.691188938,0.732990025,0.308811043,1.438902743
2020/2/10,563,0.67893649,0.721113621,0.3210635,1.429840142
2020/2/11,651,0.64905473,0.726084867,0.35094525,1.353302611
2020/2/12,571,0.638062063,0.706673194,0.361937945,1.318739054
2020/2/13,579,0.663805007,0.700092379,0.336194988,1.417962003
2020/2/14,626,0.6904178,0.714709116,0.309582203,1.447284345
2020/2/15,423,0.698881492,0.693602131,0.301118522,1.451536643
2020/2/16,448,0.71184182,0.70629105,0.288158181,1.504464286
2020/2/17,517,0.67666477,0.707974488,0.323335223,1.421663443
2020/2/18,1117,0.691297314,0.726187771,0.308702677,1.471799463
2020/2/19,1120,0.680397667,0.722739438,0.31960234,1.433928571
2020/2/20,1172,0.688641907,0.738849078,0.3113581,1.447098976
2020/2/21,1103,0.678647984,0.71212366,0.321352023,1.419764279
2020/2/22,743,0.745900668,0.731343905,0.254099346,1.601615074
2020/2/23,672,0.703159863,0.740274276,0.296840119,1.479166667
2020/2/24,1098,0.713767821,0.719441258,0.286232175,1.50273224
2020/2/25,1046,0.658611485,0.692803091,0.341388497,1.353728489
2020/2/26,1070,0.677540892,0.693868397,0.322459106,1.411214953
2020/2/27,1050,0.672194296,0.710673861,0.32780571,1.398095238
2020/2/28,1101,0.671219123,0.706471079,0.32878087,1.395095368
2020/2/29,640,0.696745672,0.715630903,0.303254344,1.471875
2020/3/1,694,0.706560355,0.69582594,0.293439638,1.481268012
